groupKey,count,completed,bestCandidate,bestValBpb,medianValBpb,meanValBpb,bestStepAvgMs,bestInt8SubmissionBytes,bestArtifactHeadroomBytes
text_diffusion_proxy,1,1,text_diffusion_proxy,3.75282305,3.75282305,3.75282305,967.02,612599,15587957
moe_proxy,1,1,moe_proxy_wide_mlp,4.0461647,4.0461647,4.0461647,1698.04,770207,15589604
long_context_ar,1,1,qk_rmsnorm_longctx,4.06662657,4.06662657,4.06662657,3702.94,544508,15693438
universal_transformer_proxy,1,1,depth_recurrence_loop45,4.06764226,4.06764226,4.06764226,596.83,544440,15693438
autoregressive,3,3,ar_baseline_int8,4.07025636,4.07025636,4.07171691,735.05,544599,15693438
autoregressive_shape,2,2,narrow_deep,4.07025636,4.07025636,4.07025636,1046.0,544599,15693438
jepa_proxy,1,1,jepa_style_encoder_decoder_proxy,4.07036567,4.07036567,4.07036567,806.96,544603,15693438
state_space_proxy,1,1,ssm_proxy_linear_attention_budget,4.07261945,4.07261945,4.07261945,1196.0,544462,15693438
autoregressive_mlp,1,1,swiglu_clamped,4.0911505,4.0911505,4.0911505,1600.32,662360,15693438
